,Ticker,Position,percMove,spec_price,volume,speculativePercMove,prevDayVolatility,volatility,lastPrice
0,U,Short,0.15,42.38,11651329.412698412,-0.0,0.36,0.39,42.38
0,ENVX,Short,0.25,16.2657,6630644.476190476,-0.01,0.42,0.47,16.43
0,VKTX,Long,-0.18,14.9884,5117735.761904762,0.01,0.34,0.4,14.84
0,AUR,Short,0.16,2.55,3371174.53968254,-0.0,0.45,0.47,2.55
0,BDTX,Short,2.36,4.944,3057555.126984127,-0.9999,0.43,1.3,6.18
0,PGY,Short,0.17,1.45,2398845.714285714,-0.0,0.4,0.43,1.45
0,HLGN,Short,0.2,0.2475,2007126.047619048,-0.01,0.42,0.45,0.25
0,AHCO,Short,0.2,11.1672,1427347.507936508,-0.01,0.24,0.3,11.28
0,KSCP,Short,0.21,0.4554,1378968.7777777778,-0.01,0.48,0.52,0.46
0,HA,Short,0.19,10.147499999999999,1197059.7777777778,-0.01,0.27,0.32,10.25
0,CAVA,Short,0.07,45.55,2525651.571428572,-0.0,0.06,0.07,45.55
