,Ticker,Position,percMove,spec_price,volume,speculativePercMove,prevDayVolatility,volatility,lastPrice
0,JOBY,Short,0.4,8.4224,5251017.555555556,-0.06,0.33,0.47,8.96
0,RDFN,Short,0.15,13.87,2852011.476190476,-0.0,0.46,0.48,13.87
0,ASTS,Long,-0.27,4.7791999999999994,2459667.9523809524,0.03,0.42,0.52,4.64
0,ALTO,Short,0.19,2.7819,1485078.2063492064,-0.01,0.41,0.45,2.81
0,NRGV,Short,0.19,2.5938,1232554.634920635,-0.01,0.5,0.53,2.62
0,IMUX,Short,0.21,1.9205999999999999,1225548.0158730159,-0.01,0.39,0.44,1.94
0,DBD,Short,4.1,0.2,3432128.672131148,-0.9999,3.12,3.12,0.25
0,WEJO,Short,1.63,0.0384,2793013.770491803,-0.04,1.33,1.35,0.04
0,SI,Short,2.29,1.0,2544413.409836065,-0.9999,1.08,1.14,1.25
0,KSCP,Short,0.52,0.644,1742790.0476190476,-0.08,0.51,0.67,0.7
0,QTEK,Short,1.57,0.0679,1601487.245901639,-0.03,1.55,1.57,0.07
