,Ticker,Position,percMove,spec_price,volume,speculativePercMove,prevDayVolatility,volatility,lastPrice
0,ATUS,Short,0.2,2.5344,4681264.888888889,-0.01,0.47,0.51,2.56
0,BNTC,Short,0.81,0.26639999999999997,3217001.047619048,-0.26,0.4,0.72,0.36
0,SLG,Short,0.2,27.918,2894842.8571428573,-0.01,0.27,0.33,28.2
0,FGEN,Long,-0.83,6.124599999999999,1616594.142857143,1.26,0.3,1.81,2.71
0,ILPT,Short,0.22,3.465,1587474.4603174604,-0.01,0.37,0.42,3.5
0,INVO,Short,0.45,0.22559999999999997,1136635.3015873015,-0.06,0.49,0.63,0.24
0,DOMA,Long,-0.16,0.19190000000000002,1113745.603174603,0.01,0.4,0.44,0.19
0,ATER,Long,-0.18,0.3636,1034021.1746031746,0.01,0.39,0.43,0.36
0,CAVA,Short,0.06,42.59,2644496.333333333,-0.0,0.03,0.06,42.59
