,Ticker,Position,percMove,spec_price,volume,speculativePercMove,prevDayVolatility,volatility,lastPrice
0,RIVN,Short,0.17,19.3644,27321737.403225806,-0.01,0.27,0.32,19.56
0,CGC,Short,0.52,0.5251,11144860.532258065,-0.11,0.38,0.59,0.59
0,WULF,Short,0.15,2.02,3306017.0483870967,-0.0,0.48,0.5,2.02
0,XXII,Long,-0.22,0.306,2403773.5967741935,0.02,0.34,0.41,0.3
0,CYBN,Short,0.19,0.4455,1569873.677419355,-0.01,0.34,0.38,0.45
0,PTGX,Long,-0.19,22.533099999999997,1233837.5322580645,0.01,0.3,0.37,22.31
0,CYXT,Short,1.87,0.07,12775778.283333331,-0.0,1.34,1.34,0.07
0,CGC,Short,0.52,0.5251,11144860.532258064,-0.11,0.38,0.59,0.59
0,AZN,Long,-0.09,65.25,4327713.854838709,0.0,0.09,0.13,65.25
0,DBD,Short,3.39,0.2,3152654.2,-0.9999,3.12,3.12,0.25
0,VINE,Short,1.57,0.11019999999999996,2082617.7903225808,-0.81,0.64,1.15,0.58
0,SI,Short,1.31,1.2375,1863525.3833333333,-0.01,1.15,1.15,1.25
0,QTEK,Short,2.41,0.05600000000000001,1628388.5166666666,-0.9999,1.55,1.68,0.07
